ID,predicted_selling_amount
-9221607263697497458,-1.0
-9217919187333201744,291.1208273537993
-9209328318584438243,246.90882167779162
-9208823364001929950,466.71341968017714
-9207670017580758036,258.56153900754157
-9207200372803159411,427.91423109721256
-9206569785675213125,-1.0
-9205210164822940078,303.4970115350484
-9195460115585985021,-1.0
-9183166557501017729,-1.0
-9180000557560239950,463.25646068640424
-9162547391520652865,290.83155280825747
-9155284066653500789,-1.0
-9153063459780008701,391.8372510141031
-9153055542434669575,-1.0
-9152743349832272015,-1.0
-9148528972634447112,-1.0
-9132680434888006858,106.01542677472415
-9131161804281079496,511.9104531669917
-9125921980138293351,-1.0
-9122294283942355052,-1.0
-9119704809452945097,228.53034304104878
-9113595277698732434,329.19877454425443
-9107844975718425678,314.01631098767814
-9090600433129515980,-1.0
-9090427005435313176,214.82780678837472
-9089256174473548435,202.30633763403753
-9088782211332093516,-1.0
-9083349385937153792,-1.0
-9078320632554796663,-1.0
-9074217370718546510,-1.0
-9071612794120028198,249.26022537457177
-9065427397384143012,309.4767817897233
-9045467247817454532,-1.0
-9045405279483314521,248.0159588063042
-9042843293239344153,-1.0
-9042159001793857770,171.11419927842852
-9034960387181473991,-1.0
-9031916060462256278,-1.0
-9031535830272333199,-1.0
-9030126909531350646,397.8601211278675
-9027650268451806801,188.7274959231917
-9023651248726892425,485.91615197720625
-9022152893987711437,-1.0
-9022146375452346391,395.27367508770647
-9014304393053809835,-1.0
-8993817633097420526,210.94100010880518
-8991982192013102275,-1.0
-8990605275559629765,-1.0
-8987127384223575963,-1.0
-8986374520080785448,-1.0
-8983535058854523735,-1.0
-8973832590479957912,-1.0
-8970882622260726499,-1.0
-8960011003471148490,-1.0
-8949128604404850577,-1.0
-8948881793732858291,-1.0
-8945430369408810564,-1.0
-8945258696773603626,-1.0
-8943384364882658872,283.7775450381175
-8938317367272336074,-1.0
-8922202566771930796,-1.0
-8918756412279827168,-1.0
-8917304065735255819,332.1626933550493
-8911166377965123369,-1.0
-8909756524965647568,-1.0
-8906653794084381887,-1.0
-8905926861667643475,-1.0
-8905151177611741389,-1.0
-8896529464582329475,-1.0
-8895672540388355740,-1.0
-8893560484035768009,-1.0
-8893443672404032073,-1.0
-8889901207806206804,-1.0
-8887616457300665138,330.65906407533487
-8884971997116552575,347.2081635805174
-8884285913849588903,236.80546051041622
-8877390131135342736,-1.0
-8874463954710287848,242.64327068538913
-8862743167483372683,-1.0
-8860681971719623580,-1.0
-8859269516074356223,-1.0
-8854083814184196681,336.03175219625007
-8848816459734396575,119.46343632441378
-8847168531779230526,-15.70079316178456
-8845222412166936204,323.5752542685432
-8833556966234497482,199.32029951269064
-8832726883698963020,626.635584805006
-8824034743701168736,-1.0
-8821599267612933925,-1.0
-8821509440073243339,-1.0
-8816165142664436486,-1.0
-8814209721206296480,-1.0
-8807519122870311402,-1.0
-8798277713314641409,-1.0
-8785558724648533865,-1.0
-8773063039338229576,-1.0
-8752798165686216451,-1.0
-8746278596052964980,116.87699028425274
-8738449595399532770,279.2160743432005
-8724270774092400992,686.8384405555377
-8718158070041230107,-1.0
-8716448497143532575,-1.0
-8713736175773933497,491.7419258792942
-8713551160052299221,-1.0
-8712944670839426236,-1.0
-8702441499053876462,-1.0
-8697905031145699722,-1.0
-8695813222607573061,253.59088498178616
-8695677714844307606,245.41837207791278
-8664477589914002148,219.44372720940223
-8658976031835048140,170.02045926268514
-8657573759931699416,-1.0
-8650801271293136409,310.4099421048985
-8648816254332180980,445.3037779888633
-8633944585805533979,334.681647132069
-8630900901866423065,-1.0
-8624721009254036875,55.94225229152997
-8621000823580153564,-1.0
-8609210393075164250,257.6278609928612
-8608269762505405431,-1.0
-8601011294870986744,-1.0
-8600972532519536107,3.652855008762316
-8600834425832042773,281.0370257321656
-8600542412220559147,211.18069157537107
-8595291440037352153,95.14453622668057
-8581085307337699721,1352.8047362098152
-8577360145205227998,-1.0
-8572209132030099608,-1.0
-8569222321093204879,-1.0
-8565150658162091993,114.42137640524774
-8564592163543527002,-1.0
-8559581712938321687,128.03540824072857
-8549412295758592199,52.630076910538634
-8537109146995493545,497.866802558907
-8532057866448444827,-1.0
-8524255797029435968,-1.0
-8520865036138471935,211.83940375522425
-8518379604078328934,134.33550105534013
-8517458680192491306,-1.0
-8515795212629993729,160.67950645599151
-8515614270580799760,-1.0
-8515338758262301555,427.4828411909642
-8506504537120915148,-1.0
-8505226616005183685,-1.0
-8503686409577453400,196.9336495131224
-8495362751434606826,-1.0
-8492699384420406004,511.26064999351945
-8490766097359099976,198.42666857379587
-8488720902610780917,-1.0
-8473479720844969406,-1.0
